Date,Open,High,Low,Close,Adj Close,Volume
2011-03-07,275.000000,294.700012,273.750000,273.700012,273.700012,248
2011-03-14,271.750000,277.500000,261.600006,276.799988,276.799988,116
2011-03-21,278.299988,278.299988,260.549988,268.600006,268.600006,44293
2011-03-28,269.600006,269.700012,257.799988,259.899994,259.899994,57434
2011-04-04,260.049988,278.500000,254.050003,274.950012,274.950012,79398
2011-04-11,273.700012,288.649994,269.850006,288.100006,288.100006,70022
2011-04-18,288.450012,298.500000,282.799988,291.299988,291.299988,24356
2011-04-25,293.450012,301.049988,284.500000,299.350006,299.350006,702
2011-05-02,298.350006,306.250000,284.149994,287.049988,287.049988,191
2011-05-09,292.850006,293.000000,270.000000,269.299988,269.299988,148
2011-05-16,269.000000,271.500000,258.600006,259.149994,259.149994,39568
2011-05-23,259.149994,270.299988,258.899994,263.700012,263.700012,42660
2011-05-30,264.700012,273.799988,253.300003,270.950012,270.950012,67977
2011-06-06,270.350006,270.750000,258.000000,264.950012,264.950012,67211
2011-06-13,269.899994,270.649994,249.100006,249.550003,249.550003,41814
2011-06-20,250.199997,251.000000,239.649994,249.000000,249.000000,12757
2011-06-27,250.199997,266.200012,249.100006,263.450012,263.450012,251
2011-07-04,263.500000,269.700012,262.950012,263.149994,263.149994,37
2011-07-11,257.899994,263.799988,255.000000,252.550003,252.550003,46
2011-07-18,249.000000,249.300003,238.000000,241.500000,241.500000,49770
2011-07-25,241.500000,247.350006,237.199997,239.550003,239.550003,55102
2011-08-01,240.600006,248.449997,233.500000,238.000000,238.000000,81454
2011-08-08,236.949997,242.500000,231.350006,240.350006,240.350006,71388
2011-08-15,240.800003,266.600006,240.100006,266.149994,266.149994,36817
2011-08-22,265.000000,279.549988,263.399994,278.899994,278.899994,7714
2011-08-29,280.649994,291.750000,279.850006,289.200012,289.200012,108
2011-09-05,280.899994,286.000000,270.250000,271.250000,271.250000,135
2011-09-12,272.500000,275.799988,258.450012,263.000000,263.000000,73
2011-09-19,263.000000,267.149994,230.800003,231.449997,231.449997,66828
2011-09-26,233.000000,246.550003,228.500000,228.899994,228.899994,67317
2011-10-03,228.500000,236.100006,219.800003,224.350006,224.350006,60449
2011-10-10,226.000000,241.500000,221.649994,239.550003,239.550003,53066
2011-10-17,240.050003,246.699997,228.350006,244.850006,244.850006,67067
2011-10-24,245.449997,252.500000,231.899994,235.149994,235.149994,67100
2011-10-31,233.000000,233.449997,220.449997,230.199997,230.199997,66251
2011-11-07,230.199997,237.300003,226.949997,233.949997,233.949997,72235
2011-11-14,237.300003,240.000000,228.100006,234.199997,234.199997,51880
2011-11-21,233.699997,236.600006,229.500000,229.600006,229.600006,996
2011-11-28,231.199997,235.699997,223.899994,227.149994,227.149994,382
2011-12-05,229.399994,235.199997,225.399994,224.649994,224.649994,103
2011-12-12,224.000000,224.000000,213.399994,210.949997,210.949997,102
2011-12-19,215.300003,224.050003,215.300003,219.649994,219.649994,32246
2011-12-26,218.350006,229.300003,218.350006,226.850006,226.850006,14981
2012-01-02,226.850006,229.149994,216.600006,221.750000,221.750000,46394
2012-01-09,220.750000,238.500000,217.600006,225.250000,225.250000,54016
2012-01-16,225.449997,229.250000,221.100006,225.399994,225.399994,46875
2012-01-23,223.899994,225.000000,216.800003,217.350006,217.350006,58240
2012-01-30,216.750000,219.649994,210.949997,215.949997,215.949997,63656
2012-02-06,215.000000,222.449997,213.050003,215.300003,215.300003,82412
2012-02-13,216.000000,217.600006,195.899994,200.050003,200.050003,59962
2012-02-20,199.750000,205.350006,199.000000,203.250000,203.250000,1955
2012-02-27,202.800003,206.250000,200.899994,201.649994,201.649994,299
2012-03-05,198.050003,200.850006,186.000000,185.600006,185.600006,114
2012-03-12,184.350006,184.350006,181.350006,181.350006,181.350006,44
2012-03-19,183.899994,188.449997,174.449997,178.750000,178.750000,56237
2012-03-26,178.250000,187.850006,175.899994,182.449997,182.449997,81724
2012-04-02,182.500000,190.449997,178.699997,183.000000,183.000000,55609
2012-04-09,182.850006,186.399994,177.550003,179.199997,179.199997,98559
2012-04-16,179.300003,180.000000,171.899994,177.699997,177.699997,38464
2012-04-23,177.500000,184.250000,174.699997,175.000000,175.000000,522
2012-04-30,175.399994,182.899994,173.399994,173.500000,173.500000,105
2012-05-07,173.800003,179.250000,172.899994,176.550003,176.550003,101
2012-05-14,173.699997,179.000000,173.600006,177.699997,177.699997,11096
2012-05-21,179.000000,181.350006,165.100006,167.800003,167.800003,67814
2012-05-28,168.449997,169.449997,156.500000,157.500000,157.500000,63561
2012-06-04,157.899994,159.350006,154.250000,155.600006,155.600006,63709
2012-06-11,155.699997,157.899994,148.850006,150.050003,150.050003,75239
2012-06-18,150.699997,159.149994,148.199997,155.149994,155.149994,27890
2012-06-25,154.699997,168.600006,153.750000,170.100006,170.100006,719
2012-07-02,172.800003,184.800003,172.500000,175.899994,175.899994,77
2012-07-09,176.899994,190.350006,176.899994,184.449997,184.449997,77
2012-07-16,186.800003,190.850006,179.899994,186.949997,186.949997,26400
2012-07-23,185.850006,186.399994,173.050003,173.699997,173.699997,60735
2012-07-30,174.350006,178.899994,170.600006,173.800003,173.800003,62723
2012-08-06,173.100006,177.850006,164.199997,166.250000,166.250000,79577
2012-08-13,166.199997,167.250000,157.399994,160.300003,160.300003,50903
2012-08-20,160.649994,163.500000,157.600006,162.600006,162.600006,21915
2012-08-27,165.000000,168.600006,162.500000,164.550003,164.550003,291
2012-09-03,164.449997,165.000000,157.100006,162.699997,162.699997,53
2012-09-10,173.500000,182.649994,173.500000,180.800003,180.800003,41
2012-09-17,181.100006,182.550003,168.300003,173.300003,173.300003,56345
2012-09-24,171.800003,175.199997,167.649994,173.500000,173.500000,52058
2012-10-01,172.850006,185.449997,167.699997,168.100006,168.100006,93168
2012-10-08,167.800003,170.000000,159.699997,161.699997,161.699997,73354
2012-10-15,161.699997,163.449997,157.149994,161.649994,161.649994,55876
2012-10-22,162.500000,165.699997,156.899994,157.750000,157.750000,53469
2012-10-29,157.750000,162.750000,152.800003,154.699997,154.699997,70488
2012-11-05,154.699997,154.699997,149.600006,149.899994,149.899994,92824
2012-11-12,151.149994,154.399994,144.500000,147.300003,147.300003,75486
2012-11-19,147.550003,151.800003,142.000000,142.149994,142.149994,24121
2012-11-26,142.449997,148.149994,132.250000,142.100006,142.100006,379
2012-12-03,140.100006,142.250000,138.899994,142.100006,142.100006,57
2012-12-10,142.000000,142.000000,135.250000,137.399994,137.399994,36
2012-12-17,137.949997,146.850006,133.500000,146.600006,146.600006,41755
2012-12-24,146.600006,149.250000,145.100006,146.850006,146.850006,17241
2012-12-31,146.100006,151.949997,141.250000,147.350006,147.350006,61878
2013-01-07,147.350006,153.500000,145.649994,153.350006,153.350006,95804
2013-01-14,152.949997,157.899994,150.800003,156.300003,156.300003,75679
2013-01-21,154.800003,156.449997,146.100006,148.300003,148.300003,73312
2013-01-28,148.100006,150.800003,146.550003,147.949997,147.949997,81362
2013-02-04,147.500000,148.050003,139.399994,141.050003,141.050003,121148
2013-02-11,141.750000,142.149994,136.449997,136.949997,136.949997,85480
2013-02-18,137.199997,143.949997,135.899994,143.100006,143.100006,23164
2013-02-25,143.600006,144.050003,140.600006,142.899994,142.899994,558
2013-03-04,146.000000,146.899994,139.949997,143.350006,143.350006,56
2013-03-11,143.300003,143.899994,137.399994,136.500000,136.500000,43
2013-03-18,133.699997,136.300003,132.050003,135.300003,135.300003,72775
2013-03-25,135.949997,138.800003,134.649994,137.149994,137.149994,44812
2013-04-01,137.149994,141.350006,135.500000,140.149994,140.149994,114005
2013-04-08,139.800003,140.899994,134.699997,135.250000,135.250000,154195
2013-04-15,134.949997,142.449997,131.750000,141.649994,141.649994,58958
2013-04-22,141.649994,143.500000,133.300003,133.899994,133.899994,2027
2013-04-29,133.649994,140.250000,132.750000,140.300003,140.300003,373
2013-05-06,141.350006,147.649994,141.000000,143.800003,143.800003,187
2013-05-13,142.949997,144.750000,135.449997,135.600006,135.600006,43
2013-05-20,132.600006,135.850006,126.800003,127.250000,127.250000,78387
2013-05-27,127.550003,128.550003,125.050003,127.050003,127.050003,72108
2013-06-03,127.050003,129.899994,125.500000,126.949997,126.949997,102911
2013-06-10,126.500000,129.000000,121.099998,122.250000,122.250000,135851
2013-06-17,122.250000,124.599998,116.900002,118.699997,118.699997,35131
2013-06-24,118.849998,122.349998,117.949997,120.000000,120.000000,563
2013-07-01,120.599998,124.349998,119.800003,120.949997,120.949997,86
2013-07-08,120.500000,124.000000,119.349998,119.150002,119.150002,101
2013-07-15,120.250000,132.149994,120.150002,122.599998,122.599998,21401
2013-07-22,123.150002,126.500000,120.849998,122.250000,122.250000,80531
2013-07-29,122.250000,123.349998,115.349998,118.250000,118.250000,83178
2013-08-05,118.000000,124.300003,117.099998,122.900002,122.900002,111246
2013-08-12,122.900002,124.599998,119.349998,120.500000,120.500000,92827
2013-08-19,120.449997,120.900002,112.800003,113.050003,113.050003,34641
2013-08-26,114.099998,115.199997,112.000000,112.099998,112.099998,295
2013-09-02,113.000000,114.500000,111.550003,113.949997,113.949997,43
2013-09-09,114.000000,116.099998,114.000000,115.550003,115.550003,45
2013-09-16,114.800003,116.699997,111.099998,114.650002,114.650002,30287
2013-09-23,114.650002,119.199997,113.500000,113.699997,113.699997,58201
2013-09-30,113.650002,116.199997,113.199997,114.400002,114.400002,46607
2013-10-07,114.400002,117.949997,113.500000,116.699997,116.699997,55717
2013-10-14,116.699997,117.650002,114.050003,114.650002,114.650002,47124
2013-10-21,114.400002,114.699997,108.800003,109.099998,109.099998,68509
2013-10-28,109.000000,109.199997,104.250000,105.550003,105.550003,71431
2013-11-04,105.599998,106.199997,100.949997,104.050003,104.050003,105986
2013-11-11,104.099998,106.949997,102.150002,105.750000,105.750000,129073
2013-11-18,105.849998,111.849998,104.300003,107.099998,107.099998,29585
2013-11-25,107.699997,109.800003,106.050003,110.250000,110.250000,186
2013-12-02,109.800003,110.500000,105.500000,105.800003,105.800003,114
2013-12-09,106.300003,114.000000,106.050003,114.500000,114.500000,76
2013-12-16,115.349998,116.699997,113.099998,115.300003,115.300003,27815
2013-12-23,115.000000,118.400002,114.050003,116.349998,116.349998,20461
2013-12-30,116.349998,117.449997,110.199997,116.349998,116.349998,43899
2014-01-06,116.500000,122.599998,115.699997,120.650002,120.650002,102032
2014-01-13,120.349998,121.050003,115.949997,117.150002,117.150002,62759
2014-01-20,117.150002,118.550003,113.650002,114.400002,114.400002,54765
2014-01-27,114.199997,125.949997,113.150002,125.199997,125.199997,105649
2014-02-03,125.000000,144.149994,125.000000,135.699997,135.699997,198374
2014-02-10,133.949997,142.750000,132.899994,139.899994,139.899994,129056
2014-02-17,140.050003,175.699997,138.750000,168.550003,168.550003,30355
2014-02-24,169.449997,180.350006,169.449997,179.800003,179.800003,970
2014-03-03,180.550003,200.899994,177.100006,196.050003,196.050003,180
2014-03-10,201.500000,207.550003,200.500000,197.850006,197.850006,266
2014-03-17,195.350006,195.500000,168.500000,171.149994,171.149994,57393
2014-03-24,171.149994,181.050003,166.000000,180.600006,180.600006,72126
2014-03-31,180.600006,185.399994,167.899994,185.000000,185.000000,83816
2014-04-07,185.800003,208.649994,185.550003,201.199997,201.199997,132389
2014-04-14,199.800003,207.399994,185.600006,201.199997,201.199997,51162
2014-04-21,202.000000,215.699997,196.149994,204.750000,204.750000,4521
2014-04-28,203.350006,208.899994,192.399994,200.600006,200.600006,156
2014-05-05,197.399994,203.100006,183.649994,180.800003,180.800003,119
2014-05-12,182.399994,194.250000,180.949997,182.500000,182.500000,53
2014-05-19,180.149994,186.399994,176.699997,181.899994,181.899994,52928
2014-05-26,181.500000,182.949997,170.800003,177.500000,177.500000,56155
2014-06-02,177.250000,179.350006,167.350006,172.100006,172.100006,70837
2014-06-09,171.949997,179.699997,165.100006,173.699997,173.699997,110066
2014-06-16,173.649994,176.699997,163.100006,173.250000,173.250000,41339
2014-06-23,173.000000,182.500000,169.899994,170.449997,170.449997,274
2014-06-30,172.550003,172.750000,168.199997,169.399994,169.399994,114
2014-07-07,170.300003,170.300003,157.800003,158.949997,158.949997,147
2014-07-14,162.300003,164.949997,159.399994,170.699997,170.699997,23
2014-07-21,171.649994,181.199997,166.600006,179.149994,179.149994,58692
2014-07-28,179.800003,207.399994,178.000000,192.350006,192.350006,85796
2014-08-04,192.050003,195.449997,179.399994,180.850006,180.850006,102523
2014-08-11,180.850006,189.649994,180.850006,188.750000,188.750000,78163
2014-08-18,188.949997,190.399994,178.649994,181.600006,181.600006,32756
2014-08-25,182.350006,197.699997,180.550003,195.750000,195.750000,267
2014-09-01,200.100006,204.699997,192.100006,192.850006,192.850006,46
2014-09-08,192.300003,192.300003,176.199997,179.649994,179.649994,77
2014-09-15,179.350006,182.850006,176.399994,178.000000,178.000000,25547
2014-09-22,178.000000,189.800003,176.399994,186.050003,186.050003,59177
2014-09-29,185.550003,213.750000,185.199997,206.500000,206.500000,86069
2014-10-06,208.699997,225.500000,208.699997,220.399994,220.399994,80407
2014-10-13,222.050003,225.449997,208.500000,210.649994,210.649994,61388
2014-10-20,206.350006,206.350006,188.449997,191.500000,191.500000,76473
2014-10-27,188.000000,193.850006,185.649994,188.000000,188.000000,66842
2014-11-03,188.949997,192.800003,182.100006,182.399994,182.399994,81813
2014-11-10,182.399994,193.399994,181.100006,192.000000,192.000000,109732
2014-11-17,192.000000,199.750000,186.000000,189.649994,189.649994,22784
2014-11-24,190.500000,196.199997,186.399994,186.649994,186.649994,292
2014-12-01,187.550003,188.250000,177.800003,179.100006,179.100006,152
2014-12-08,177.050003,178.500000,174.000000,173.000000,173.000000,43
2014-12-15,177.649994,177.649994,170.850006,174.699997,174.699997,17908
2014-12-22,174.699997,176.500000,167.750000,168.600006,168.600006,22044
2014-12-29,167.649994,171.300003,160.199997,161.050003,161.050003,35651
2015-01-05,160.949997,183.850006,160.100006,180.050003,180.050003,110266
2015-01-12,181.250000,184.899994,170.399994,171.000000,171.000000,82649
2015-01-19,170.100006,172.500000,159.399994,162.449997,162.449997,66881
2015-01-26,162.199997,169.899994,158.699997,161.899994,161.899994,79650
2015-02-02,162.399994,169.750000,158.399994,166.850006,166.850006,94169
2015-02-09,166.500000,169.250000,158.800003,163.199997,163.199997,128975
2015-02-16,164.000000,165.750000,147.000000,148.649994,148.649994,35500
2015-02-23,147.949997,149.750000,136.449997,136.750000,136.750000,331
2015-03-02,138.550003,138.550003,129.050003,136.500000,136.500000,54
2015-03-09,136.500000,136.550003,126.449997,126.449997,126.449997,21
2015-03-16,133.350006,143.899994,131.449997,143.350006,143.350006,33377
2015-03-23,142.000000,145.399994,136.000000,138.199997,138.199997,71136
2015-03-30,138.800003,141.449997,131.800003,140.899994,140.899994,77570
2015-04-06,140.899994,147.350006,133.600006,135.100006,135.100006,122973
2015-04-13,135.149994,141.250000,131.949997,138.699997,138.699997,80634
2015-04-20,138.399994,145.000000,134.250000,141.149994,141.149994,13558
2015-04-27,140.000000,143.300003,131.399994,133.449997,133.449997,285
2015-05-04,132.500000,134.100006,127.849998,132.899994,132.899994,70
2015-05-11,133.500000,137.949997,132.949997,137.199997,137.199997,57
2015-05-18,137.600006,143.850006,125.800003,126.949997,126.949997,111492
2015-05-25,128.000000,128.600006,123.550003,126.150002,126.150002,73322
2015-06-01,128.199997,137.000000,128.149994,135.100006,135.100006,108752
2015-06-08,135.000000,138.850006,130.600006,132.050003,132.050003,129175
2015-06-15,131.050003,131.600006,124.800003,127.150002,127.150002,75970
2015-06-22,127.000000,134.600006,126.650002,131.699997,131.699997,1094
2015-06-29,128.399994,131.350006,125.150002,125.599998,125.599998,90
2015-07-06,125.900002,125.900002,122.199997,122.949997,122.949997,49
2015-07-13,125.849998,130.300003,125.849998,127.000000,127.000000,23
2015-07-20,126.500000,128.000000,120.650002,122.250000,122.250000,66315
2015-07-27,122.199997,127.650002,119.849998,125.250000,125.250000,86295
2015-08-03,125.099998,128.850006,121.750000,127.800003,127.800003,112908
2015-08-10,127.150002,139.000000,127.000000,137.500000,137.500000,176923
2015-08-17,135.949997,137.350006,121.949997,121.900002,121.900002,60412
2015-08-24,121.199997,122.449997,117.099998,120.449997,120.449997,203
2015-08-31,121.000000,121.000000,114.699997,115.849998,115.849998,30
2015-09-07,116.699997,117.800003,113.050003,113.349998,113.349998,25
2015-09-14,114.900002,115.550003,113.349998,113.349998,113.349998,13788
2015-09-21,118.000000,123.349998,114.550003,122.699997,122.699997,81308
2015-09-28,122.699997,125.250000,117.949997,124.300003,124.300003,84537
2015-10-05,125.000000,134.250000,124.300003,131.600006,131.600006,91541
2015-10-12,131.699997,137.600006,125.050003,125.849998,125.849998,100537
2015-10-19,126.099998,126.199997,117.550003,118.449997,118.449997,71554
2015-10-26,118.000000,121.949997,116.300003,120.949997,120.949997,76310
2015-11-02,121.000000,122.349998,116.900002,117.750000,117.750000,115254
2015-11-09,118.050003,119.699997,111.599998,112.150002,112.150002,138642
2015-11-16,112.500000,123.949997,111.849998,121.900002,121.900002,30746
2015-11-23,122.300003,123.000000,118.849998,121.000000,121.000000,208
2015-11-30,120.599998,123.500000,115.750000,124.000000,124.000000,65
2015-12-07,123.550003,124.599998,118.099998,118.099998,118.099998,29
2015-12-14,117.250000,119.199997,115.650002,118.449997,118.449997,10559
2015-12-21,118.250000,121.400002,116.800003,119.699997,119.699997,35973
2015-12-28,119.699997,126.800003,118.300003,126.699997,126.699997,57715
2016-01-04,126.150002,126.300003,117.900002,119.000000,119.000000,91337
2016-01-11,118.000000,118.050003,113.500000,114.900002,114.900002,86416
2016-01-18,114.300003,117.500000,111.050003,116.000000,116.000000,78602
2016-01-25,114.699997,120.300003,114.150002,116.349998,116.349998,103212
2016-02-01,115.800003,124.000000,114.949997,120.400002,120.400002,130847
2016-02-08,120.000000,120.000000,112.500000,115.550003,115.550003,144217
2016-02-15,116.400002,117.550003,113.199997,115.750000,115.750000,47766
2016-02-22,116.199997,120.349998,113.349998,113.000000,113.000000,415
2016-02-29,112.300003,118.800003,111.349998,118.800003,118.800003,88
2016-03-07,117.650002,124.050003,116.900002,124.400002,124.400002,63
2016-03-14,125.000000,134.399994,123.349998,133.850006,133.850006,22853
2016-03-21,133.699997,136.399994,127.400002,127.550003,127.550003,80357
2016-03-28,127.449997,130.000000,124.400002,127.250000,127.250000,99856
2016-04-04,125.800003,126.550003,119.050003,120.449997,120.449997,139140
2016-04-11,121.349998,125.500000,119.800003,122.949997,122.949997,102324
2016-04-18,123.099998,130.000000,122.000000,122.750000,122.750000,27769
2016-04-25,122.500000,126.250000,120.000000,120.849998,120.849998,400
2016-05-02,122.099998,124.000000,118.699997,123.449997,123.449997,326
2016-05-09,125.150002,128.750000,125.150002,128.800003,128.800003,48
2016-05-16,128.750000,132.600006,123.699997,124.699997,124.699997,69332
2016-05-23,124.500000,124.699997,120.800003,121.300003,121.300003,71415
2016-05-30,121.550003,127.400002,120.849998,127.099998,127.099998,97143
2016-06-06,127.300003,145.000000,127.099998,136.949997,136.949997,214284
2016-06-13,140.100006,142.149994,132.149994,140.750000,140.750000,89462
2016-06-20,139.000000,140.399994,133.500000,134.350006,134.350006,19910
2016-06-27,134.649994,146.050003,133.500000,144.850006,144.850006,295
2016-07-04,145.600006,145.600006,140.000000,142.750000,142.750000,151
2016-07-11,144.850006,153.050003,144.850006,145.699997,145.699997,32
2016-07-18,145.699997,149.750000,140.350006,141.899994,141.899994,70467
2016-07-25,142.699997,146.350006,139.050003,146.199997,146.199997,78629
2016-08-01,145.000000,145.750000,136.949997,142.500000,142.500000,114517
2016-08-08,142.949997,144.300003,136.500000,136.850006,136.850006,129846
2016-08-15,136.949997,140.750000,134.899994,138.800003,138.800003,57724
2016-08-22,139.000000,146.149994,138.500000,143.899994,143.899994,5555
2016-08-29,144.800003,151.399994,142.300003,150.100006,150.100006,60
2016-09-05,151.899994,153.699997,150.000000,149.949997,149.949997,33
2016-09-12,147.800003,149.300003,147.000000,147.100006,147.100006,63
2016-09-19,149.300003,160.899994,149.300003,151.399994,151.399994,93995
2016-09-26,151.500000,154.949997,148.750000,151.550003,151.550003,91379
2016-10-03,151.100006,151.699997,145.199997,148.000000,148.000000,91875
2016-10-10,148.199997,155.899994,148.050003,155.399994,155.399994,95055
2016-10-17,154.899994,159.600006,154.550003,156.100006,156.100006,83273
2016-10-24,156.050003,166.899994,155.649994,165.500000,165.500000,126027
2016-10-31,164.250000,172.000000,160.350006,171.350006,171.350006,127821
2016-11-07,170.000000,176.000000,157.899994,159.449997,159.449997,206995
2016-11-14,159.000000,165.300003,157.449997,157.850006,157.850006,57929
2016-11-21,158.250000,159.550003,151.399994,152.300003,152.300003,717
