"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2016","135.55","142.15","143.60","138.20","0.03K","-4.00%"
"11/27/2016","141.20","152.65","153.35","140.40","0.33K","-7.29%"
"11/20/2016","152.30","158.25","159.55","151.40","0.85K","-3.52%"
"11/13/2016","157.85","159.00","165.30","157.45","48.21K","-1.00%"
"11/06/2016","159.45","170.00","176.00","157.90","191.82K","-6.94%"
"10/30/2016","171.35","164.25","172.00","160.35","121.02K","3.53%"
"10/23/2016","165.50","156.05","166.90","155.65","120.02K","6.02%"
"10/16/2016","156.10","154.90","159.60","154.55","80.32K","0.45%"
"10/09/2016","155.40","148.20","155.90","148.05","91.67K","5.00%"
"10/02/2016","148.00","151.10","151.70","145.20","88.30K","-2.34%"
"09/25/2016","151.55","151.50","154.95","148.75","87.10K","0.10%"
"09/18/2016","151.40","149.30","160.90","149.30","67.40K","2.92%"
"09/11/2016","147.10","147.80","149.30","147.00","0.06K","-1.90%"
"09/04/2016","149.95","151.90","153.70","150.00","0.03K","-0.10%"
"08/28/2016","150.10","144.80","151.40","142.30","0.07K","4.31%"
"08/21/2016","143.90","139.00","146.15","138.50","4.94K","3.67%"
"08/14/2016","138.80","136.95","140.75","134.90","47.18K","1.42%"
"08/07/2016","136.85","142.95","144.30","136.50","115.14K","-3.96%"
"07/31/2016","142.50","145.00","145.75","136.95","107.40K","-2.53%"
"07/24/2016","146.20","142.70","146.35","139.05","75.10K","3.03%"
"07/17/2016","141.90","145.70","149.75","140.35","53.55K","-2.61%"
"07/10/2016","145.70","144.85","153.05","144.85","0.03K","2.07%"
"07/03/2016","142.75","145.60","145.60","140.00","0.10K","-1.45%"
"06/26/2016","144.85","134.65","146.05","133.50","0.31K","7.82%"
"06/19/2016","134.35","139.00","140.40","133.50","15.40K","-4.55%"
"06/12/2016","140.75","140.10","142.15","132.15","81.01K","2.77%"
"06/05/2016","136.95","127.30","145.00","127.10","202.77K","7.75%"
"05/29/2016","127.10","121.55","127.40","120.85","92.74K","4.78%"
"05/22/2016","121.30","124.50","124.70","120.80","81.85K","-2.73%"
"05/15/2016","124.70","128.75","132.60","123.70","45.26K","-3.18%"
"05/08/2016","128.80","125.90","128.75","125.90","0.04K","4.33%"
"05/01/2016","123.45","122.10","124.00","118.70","0.33K","2.15%"
"04/24/2016","120.85","122.50","126.25","120.00","0.39K","-1.55%"
"04/17/2016","122.75","123.10","130.00","122.00","21.97K","-0.16%"
"04/10/2016","122.95","121.35","125.50","119.80","91.61K","2.08%"
"04/03/2016","120.45","125.80","126.55","119.05","131.87K","-5.34%"
"03/27/2016","127.25","127.45","130.00","124.40","94.74K","-0.24%"
"03/20/2016","127.55","133.70","136.40","127.40","77.33K","-4.71%"
"03/13/2016","133.85","125.00","134.40","123.35","0.02K","7.60%"
"03/06/2016","124.40","117.65","124.05","116.90","0.06K","4.71%"
"02/28/2016","118.80","112.30","115.40","111.35","0.13K","5.13%"
"02/21/2016","113.00","116.20","120.35","113.35","0.54K","-2.38%"
"02/14/2016","115.75","116.40","117.55","113.20","45.36K","0.17%"
"02/07/2016","115.55","120.00","120.00","112.50","135.92K","-4.03%"
