"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2012","104.03","99.34","104.16","99.11","","5.03%"
"02/05/2012","99.05","97.74","100.19","95.84","","1.31%"
"01/29/2012","97.77","100.02","101.31","95.45","","-2.01%"
"01/22/2012","99.78","98.36","101.41","97.42","","1.67%"
"01/15/2012","98.14","99.16","102.27","98.11","","-0.92%"
"01/08/2012","99.05","101.94","103.43","97.72","","-2.82%"
"01/01/2012","101.92","99.71","103.75","99.66","","2.89%"
"12/25/2011","99.06","99.94","101.78","98.31","","-0.79%"
"12/18/2011","99.85","93.77","100.24","92.55","","6.46%"
"12/11/2011","93.79","99.59","101.26","92.53","","-6.03%"
"12/04/2011","99.81","101.23","102.44","97.36","","-1.29%"
"11/27/2011","101.11","97.52","101.77","97.14","","3.83%"
"11/20/2011","97.38","97.55","98.71","95.00","","-0.63%"
"11/13/2011","98.00","100.82","104.90","98.16","","-1.23%"
"11/06/2011","99.22","94.41","99.41","93.24","","5.05%"
"10/30/2011","94.45","93.56","94.96","89.20","","1.04%"
"10/23/2011","93.48","87.06","94.66","87.01","","6.79%"
"10/16/2011","87.54","87.49","89.52","84.11","","0.31%"
"10/09/2011","87.27","82.76","87.43","82.76","","5.32%"
"10/02/2011","82.86","78.94","84.02","74.97","","5.22%"
"09/25/2011","78.75","79.66","84.78","77.12","","-1.49%"
"09/18/2011","79.94","87.78","88.01","77.57","","-9.04%"
"09/11/2011","87.88","86.72","90.54","85.02","","1.01%"
"09/04/2011","87.00","86.47","90.50","83.22","","0.40%"
"08/28/2011","86.65","85.35","89.92","85.13","","1.27%"
"08/21/2011","85.56","82.44","86.60","81.14","","3.40%"
"08/14/2011","82.75","85.61","89.02","79.19","","-3.01%"
"08/07/2011","85.32","85.73","87.40","75.73","","-2.18%"
"07/31/2011","87.22","96.24","98.64","82.91","","-9.02%"
"07/24/2011","95.87","99.77","100.63","94.96","","-3.95%"
"07/17/2011","99.81","97.38","100.19","94.69","","2.39%"
"07/10/2011","97.48","96.10","99.21","93.55","","1.05%"
"07/03/2011","96.47","95.00","99.44","94.37","","1.84%"
"06/26/2011","94.73","91.18","95.86","89.63","","3.85%"
"06/19/2011","91.22","92.81","95.72","89.70","","-1.83%"
"06/12/2011","92.92","98.79","99.97","91.86","","-6.08%"
"06/05/2011","98.94","100.44","102.46","97.76","","-1.62%"
"05/29/2011","100.57","100.70","103.40","98.13","","-0.18%"
"05/22/2011","100.75","99.69","101.91","96.38","","2.01%"
"05/15/2011","98.76","100.29","101.92","95.95","","-0.59%"
"05/08/2011","99.35","98.12","104.61","95.26","","1.33%"
"05/01/2011","98.05","113.90","114.84","94.64","","-13.79%"
"04/24/2011","113.73","112.36","114.20","110.72","","1.23%"
"04/17/2011","112.35","109.44","112.49","105.51","","2.71%"
"04/10/2011","109.39","113.30","113.48","105.33","","-3.25%"
"04/03/2011","113.06","108.30","113.22","107.50","","4.39%"
"03/27/2011","108.31","105.44","108.48","102.71","","2.61%"
"03/20/2011","105.55","102.14","106.71","101.45","","3.88%"
"03/13/2011","101.61","100.33","103.68","96.24","","1.01%"
"03/06/2011","100.59","104.66","106.96","99.02","","-4.12%"
"02/27/2011","104.91","98.50","105.17","96.38","","6.81%"
"02/20/2011","98.22","86.41","103.44","86.28","","14.01%"
"02/13/2011","86.15","85.60","87.98","83.95","","0.98%"
"02/06/2011","85.31","89.09","89.57","85.13","","-4.29%"
"01/30/2011","89.13","89.98","92.85","88.41","","-0.40%"
"01/23/2011","89.49","89.27","89.74","85.12","","0.40%"
"01/16/2011","89.13","91.56","92.15","88.05","","-2.76%"
"01/09/2011","91.66","89.03","92.42","88.16","","3.59%"
"01/02/2011","88.48","91.32","92.59","87.26","","-3.19%"
"12/26/2010","91.40","91.07","92.06","89.03","","-0.08%"
"12/19/2010","91.47","88.24","91.69","87.32","","3.68%"
"12/12/2010","88.22","87.70","89.50","86.84","","0.47%"
"12/05/2010","87.81","89.45","90.77","87.11","","-1.82%"
"11/28/2010","89.44","83.91","89.50","83.56","","6.62%"
"11/21/2010","83.89","82.17","84.55","80.30","","2.78%"
"11/14/2010","81.62","84.90","85.80","80.09","","-3.69%"
"11/07/2010","84.75","87.44","88.68","84.57","","-3.05%"
"10/31/2010","87.42","81.47","87.45","81.34","","7.36%"
"10/24/2010","81.43","82.02","83.29","80.53","","-0.57%"
"10/17/2010","81.90","81.40","83.30","79.27","","0.55%"
"10/10/2010","81.45","82.99","84.16","80.79","","-1.68%"
"10/03/2010","82.84","81.71","84.46","80.33","","1.36%"
"09/26/2010","81.73","76.48","81.77","75.53","","6.88%"
"09/19/2010","76.47","73.62","76.71","72.84","","4.04%"
"09/12/2010","73.50","76.42","78.11","72.81","","-3.77%"
"09/05/2010","76.38","74.34","76.77","72.66","","2.76%"
"08/29/2010","74.33","75.52","75.59","71.55","","-1.63%"
"08/22/2010","75.56","73.91","75.60","70.77","","2.89%"
"08/15/2010","73.44","75.66","76.69","73.25","","-2.81%"
"08/08/2010","75.56","80.94","81.80","75.05","","-6.58%"
"08/01/2010","80.88","79.02","83.03","78.90","","2.42%"
"07/25/2010","78.97","79.00","79.71","75.92","","0.13%"
"07/18/2010","78.87","75.74","79.62","75.52","","4.08%"
"07/11/2010","75.78","76.32","78.18","74.28","","-0.88%"
"07/04/2010","76.45","72.08","76.50","71.11","","5.75%"
"06/27/2010","72.29","79.04","79.42","71.66","","-8.68%"
"06/20/2010","79.16","77.53","79.22","75.20","","2.35%"
"06/13/2010","77.34","74.09","78.16","74.08","","4.19%"
"06/06/2010","74.23","70.42","76.37","69.58","","4.67%"
"05/30/2010","70.92","74.01","75.46","70.77","","-4.41%"
"05/23/2010","74.19","70.86","75.95","67.39","","5.35%"
"05/16/2010","70.42","71.92","72.64","64.36","","-2.24%"
"05/09/2010","72.03","76.13","78.53","70.85","","-4.52%"
"05/02/2010","75.44","86.22","87.18","74.53","","-12.47%"
"04/25/2010","86.19","85.26","86.54","81.34","","1.33%"
"04/18/2010","85.06","82.94","85.22","80.56","","2.54%"
"04/11/2010","82.95","85.19","86.41","82.53","","-2.26%"
"04/04/2010","84.87","85.45","87.23","84.26","","-0.47%"
"03/28/2010","85.27","80.28","85.41","80.22","","6.40%"
"03/21/2010","80.14","80.94","82.21","78.58","","-0.67%"
"03/14/2010","80.68","81.19","83.15","79.19","","-0.52%"
"03/07/2010","81.10","81.81","83.18","80.18","","-0.84%"
"02/28/2010","81.79","79.85","82.08","78.07","","2.71%"
"02/21/2010","79.63","80.16","80.56","77.10","","-0.57%"
"02/14/2010","80.09","74.08","80.16","73.77","","7.94%"
"02/07/2010","74.20","72.22","75.72","70.80","","3.18%"
"01/31/2010","71.91","72.86","78.06","69.52","","-1.05%"
"01/24/2010","72.67","74.30","75.48","72.50","","-1.89%"
"01/17/2010","74.07","77.90","79.20","74.06","","-4.98%"
"01/10/2010","77.95","82.89","83.96","77.71","","-5.98%"
"01/03/2010","82.91","79.67","83.56","79.67","","4.15%"
"12/27/2009","79.61","77.94","80.02","77.78","","2.41%"
"12/20/2009","77.74","73.08","78.28","72.02","","6.38%"
"12/13/2009","73.08","69.66","74.72","68.62","","5.02%"
"12/06/2009","69.59","75.83","76.13","69.49","","-8.10%"
"11/29/2009","75.72","76.08","79.07","74.88","","-0.33%"
"11/22/2009","75.97","77.82","79.94","72.41","","-0.94%"
"11/15/2009","76.69","76.69","80.44","76.31","","0.22%"
"11/08/2009","76.52","77.89","80.53","75.59","","-1.21%"
"11/01/2009","77.46","77.03","81.07","76.56","","0.53%"
"10/25/2009","77.05","79.66","81.58","76.85","","-3.92%"
"10/18/2009","80.19","78.56","82.00","77.65","","2.06%"
"10/11/2009","78.57","72.25","78.76","72.06","","9.11%"
"10/04/2009","72.01","69.82","72.56","68.06","","3.31%"
"09/27/2009","69.70","66.16","71.39","65.41","","5.59%"
"09/20/2009","66.01","71.79","72.21","65.06","","-8.32%"
